HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SystemId	SUPPORT_CODE	SUPPORT_NO	TRO_ANGLE	HANGER_SIZE	HANGER_HEIGHT	HANGER_TYPE_LABEL	HANGER_LENGTH	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	SLOPE ANGLE	Object Weight
'B1C298A	ELECT_CWAY_TRAYBLOCK_A	6A1	D	To-15-18	H=350	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B2144E1	D181564359744_HG28_3	<>	<>	<>	<>	<>	<>	Hull HoleRequests	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1DCAD7	ELECT_CWAY_TRAYBLOCK_A	4A1S	A	To-20-4.2	H=600	YES	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B213F67	ELECT_BRACKET	1A2	D	<>	<>	<>	<>	<>	L-22-43	305	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B213CDA	ELECT_CWAY_TRAYBLOCK_A	5A1	H	To-50-12.5	H=400	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1E811E	ELECT_BRACKET	5A1	J	<>	<>	<>	<>	<>	U-50-40	705	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1E807C	ELECT_BRACKET	5A1	J	<>	<>	<>	<>	<>	U-50-40	705	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1DD1EC	ELECT_CWAY_TRAYBLOCK_A	3A1P	E	To-20-24.4	H=500	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1DD13E	ELECT_CWAY_TRAYBLOCK_A	3A1P	C	To-15-11	H=500	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B2049A9	ELECT_CWAY_TRAY_BLOCK_TRO	1A1S	K	TRo-25	H=250	YES	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B21240C	ELECT_HANGER_SX-TYPE	5A1	16	<>	<>	NO	<>	<>	<>	<>	<>	150A	300	TYPE "X1"	<>	<>	<>	<>	<>	<>
'B1F92BB	ELECT_CWAY_TRAYBLOCK_A	1A1P	O	To-40-9.3	H=450	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B211742	ELECT_HANGER_S-TYPE	1A1P	21	<>	<>	NO	<>	<>	<>	<>	<>	150A	(H=250)	<>	<>	<>	<>	<>	<>	<>
'B2116F1	ELECT_HANGER_S-TYPE	1A1P	05	<>	<>	NO	<>	<>	<>	<>	<>	150A	(H=150)	<>	<>	<>	<>	<>	<>	<>
'B21165E	ELECT_HANGER_S-TYPE	1A1P	21	<>	<>	NO	<>	<>	<>	<>	<>	150A	(H=250)	<>	<>	<>	<>	<>	<>	<>
'B211571	ELECT_HANGER_H-TYPE	1A1P	04	<>	<>	NO	<>	<>	<>	<>	<>	150A	(H=250)	<>	(1500)	<>	<>	<>	<>	<>
'B2113BE	ELECT_HANGER_S-TYPE	1A1P	02	<>	<>	NO	<>	<>	<>	<>	<>	150A	H=350	<>	<>	<>	<>	<>	<>	<>
'B21136B	ELECT_HANGER_S-TYPE	1A1P	03	<>	<>	NO	<>	<>	<>	<>	<>	150A	H=500	<>	<>	<>	<>	<>	<>	<>
'B210F85	ELECT_HANGER_S-TYPE	1A1P	01	<>	<>	NO	<>	<>	<>	<>	<>	500Ax2	H=450/350	<>	<>	<>	<>	<>	<>	<>
'B1F9371	ELECT_BRACKET	1A1P	C	<>	<>	<>	<>	<>	I-30-55	306	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B204998	ELECT_CWAY_TRAYBLOCK_A	1A1S	I	To-25-5	H=350	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B20FB09	ELECT_BRACKET	1A1P	Y	<>	<>	<>	<>	<>	I-25-25	316	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B20684B	ELECT_BRACKET	1A2	D	<>	<>	<>	<>	<>	L-22-43	305	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
