HANDLE	BLOCKNAME	BLOCK	NO	HANGER_SIZE	HANGER_HEIGHT	AT_SITE	HANGER_TYPE_LABEL	HANGER_LENGTH	TRAY_SIZE	TRAY_HEIGHT	TRO_ANGLE	SUPPORT_CODE	SUPPORT_NO	NO_OF_LUGS	SystemId	Description	DimensionalDescription	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	SLOPE ANGLE	Object Weight	spoolName	PipelineId	Material
'33DAD1	ELECT_HANGER_HV-TYPE	3D2P	02	600A	H=250	NO	TYPE "V2"	L=300	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'332BE8	ELECT_HANGER_SX-TYPE	UD2P	03	250A	(H=160)	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D4AE	ELECT_CWAY_TRAY_BLOCK_TRO	2D2P	F	<>	<>	NO	<>	<>	TRo-60	H=950	40	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339918	ELECT_HANGER_S-TYPE	2D1P	04	600Ax2	H=850	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D80D	ELECT_BRACKET	2D1S	F	<>	<>	<>	<>	<>	<>	<>	<>	I-40-75	123	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3429A9	ELECT_BRACKET	2D1P	G	<>	<>	<>	<>	<>	<>	<>	<>	U-60-70/45	133	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3425DB	ELECT_BRACKET	UD1P	A	<>	<>	<>	<>	<>	<>	<>	<>	I-15-60	201	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'342578	ELECT_CWAY_TRAYBLOCK_A	2D1P	K	<>	<>	NO	<>	<>	To-25-18.5		<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'34254A	ELECT_BRACKET	2D1S	F	<>	<>	<>	<>	<>	<>	<>	<>	I-40-75	123	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'341A58	ELECT_BRACKET	3D2S	P	<>	<>	<>	<>	<>	<>	<>	<>	I-40-48/19	037	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'341A42	ELECT_BRACKET	3D2S	J	<>	<>	<>	<>	<>	<>	<>	<>	I-20-60	036	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'341A2C	ELECT_BRACKET	3D1	G	<>	<>	<>	<>	<>	<>	<>	<>	U-50-90	035	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3419EE	ELECT_BRACKET	3D2P	Q	<>	<>	<>	<>	<>	<>	<>	<>	U-50-85	030	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'341735	ELECT_HANGER_H-TYPE	3D2S	04	150A	(H=200)	NO	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3416FA	ELECT_HANGER_H-TYPE	3D2S	04	150A	(H=200)	NO	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3416C7	ELECT_HANGER_H-TYPE	3D2P	03	150A	(H=200)	NO	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3406CD	ELECT_HANGER_S-TYPE	3D2P	05	150A	(H=200)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3406C4	ELECT_HANGER_S-TYPE	3D2P	05	150A	(H=200)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'34002F	ELECT_HANGER_SX-TYPE	2D2S	02	150A	(H=360)	YES	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
