HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SUPPORT_CODE	SUPPORT_NO	HANGER_SIZE	HANGER_HEIGHT	TRO_ANGLE	HANGER_LENGTH	HANGER_TYPE_LABEL	SystemId	Description	DimensionalDescription	Material	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	Object Length	SLOPE ANGLE	Object Weight
'2E57A4	ELECT_CWAY_TRAYBLOCK_A	UD1P	C	To-25-11.3	H=580	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3074C6	ELECT_BRACKET	UD1P	C	<>	<>	<>	<>	I-25-58/57	206	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'307471	ELECT_BRACKET	UD1P	C	<>	<>	<>	<>	I-25-58/57	206	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30741C	ELECT_BRACKET	UD1P	B	<>	<>	<>	<>	I-25-48/47	205	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3073C7	ELECT_BRACKET	UD1P	B	<>	<>	<>	<>	I-25-48/47	205	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'307354	ELECT_BRACKET	UD2P	N	<>	<>	<>	<>	I-25-48/47	205	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3072FF	ELECT_BRACKET	UD2P	N	<>	<>	<>	<>	I-25-48/47	205	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30728C	ELECT_BRACKET	UD2P	M	<>	<>	<>	<>	I-25-48/47	205	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E4EB0	ELECT_CWAY_TRAYBLOCK_A	UD2P	M	To-25-13.4	H=480	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'307208	ELECT_BRACKET	UD2P	L	<>	<>	<>	<>	I-40-60	204	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3071B3	ELECT_BRACKET	UD2P	K	<>	<>	<>	<>	I-40-60	204	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'307122	ELECT_BRACKET	UD2P	I	<>	<>	<>	<>	I-30-53/51	203	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'3070CD	ELECT_BRACKET	UD2P	I	<>	<>	<>	<>	I-30-53/51	203	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'30701D	ELECT_HANGER_S-TYPE	UD1P	01	<>	<>	NO	<>	<>	<>	250A	H=480	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'306FC8	ELECT_HANGER_S-TYPE	UD2P	05	<>	<>	NO	<>	<>	<>	250A	H=480	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E7FE1	ELECT_BRACKET	UD1P	D	<>	<>	<>	<>	I-20-30	207	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E7F6B	ELECT_CWAY_TRAYBLOCK_A	UD1P	F	To-20-2	H=300	YES	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E7307	ELECT_BRACKET	UD2P	G	<>	<>	<>	<>	I-30-53/51	203	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
